iter	Passed	Remaining
399	47261	70891
400	47398	70802
401	47548	70730
402	47693	70653
403	47826	70555
404	47946	70439
405	48065	70323
406	48186	70207
407	48311	70098
408	48444	70001
409	48604	69943
410	48737	69844
411	48872	69750
412	49006	69652
413	49147	69566
414	49268	69451
415	49386	69331
416	49502	69208
417	49625	69096
418	49743	68976
419	49783	68748
420	49902	68630
421	50033	68529
422	50170	68436
423	50293	68323
424	50422	68218
425	50557	68121
426	50674	68001
427	50797	67888
428	50918	67772
429	51037	67654
430	51166	67549
431	51294	67442
432	51424	67338
433	51459	67110
434	51599	67019
435	51719	66902
436	51838	66785
437	51956	66666
438	52075	66546
439	52197	66432
440	52318	66317
441	52436	66198
442	52568	66096
443	52705	66000
444	52831	65891
445	52969	65795
446	53106	65700
447	53202	65553
448	53351	65471
449	53491	65377
450	53626	65279
451	53748	65163
452	53868	65046
453	53995	64937
454	54136	64844
455	54255	64726
456	54371	64603
457	54490	64484
458	54543	64287
459	54663	64170
460	54780	64048
461	54899	63931
462	55024	63818
463	55140	63697
464	55276	63597
465	55404	63488
466	55524	63372
467	55664	63277
468	55793	63169
469	55914	63052
470	56034	62934
471	56154	62816
472	56189	62604
473	56310	62488
474	56363	62296
475	56479	62175
476	56597	62055
477	56719	61940
478	56849	61834
479	56990	61739
480	57131	61644
481	57264	61541
482	57402	61443
483	57540	61344
484	57677	61245
485	57816	61147
486	57951	61045
487	58087	60943
488	58222	60841
489	58365	60747
490	58506	60650
491	58640	60547
492	58762	60431
493	58884	60315
494	59004	60196
495	59125	60078
496	59242	59957
497	59368	59845
498	59496	59735
499	59626	59626
500	59683	59444
501	59810	59333
502	59928	59213
503	60066	59112
504	60200	59007
505	60320	58890
506	60444	58775
507	60566	58659
508	60686	58540
509	60803	58418
510	60923	58300
511	61053	58191
512	61180	58080
513	61303	57964
514	61420	57842
515	61536	57720
516	61591	57540
517	61712	57423
518	61833	57306
519	61962	57196
520	62092	57086
521	62230	56985
522	62360	56875
523	62483	56760
524	62605	56642
525	62728	56526
526	62848	56408
527	62968	56290
528	63086	56169
529	63208	56052
530	63326	55932
531	63444	55812
532	63562	55691
533	63685	55575
534	63806	55458
535	63923	55336
536	64041	55216
537	64162	55098
538	64286	54983
539	64417	54874
540	64551	54767
541	64680	54656
542	64810	54546
543	64929	54426
544	65047	54305
545	65168	54187
546	65250	54037
547	65369	53917
548	65490	53800
549	65611	53682
550	65733	53564
551	65851	53444
552	65971	53325
553	66089	53205
554	66206	53084
555	66325	52964
556	66443	52844
557	66560	52723
558	66678	52603
559	66800	52485
560	66937	52380
561	67068	52270
562	67205	52164
563	67331	52050
564	67448	51929
565	67565	51808
566	67683	51687
567	67800	51566
568	67919	51447
569	68041	51329
570	68162	51211
571	68284	51093
572	68401	50973
573	68525	50856
574	68643	50736
575	68762	50616
576	68883	50498
577	69001	50378
578	69123	50260
579	69247	50144
580	69381	50036
581	69524	49933
582	69661	49826
583	69805	49724
584	69927	49606
585	70043	49484
586	70164	49366
587	70286	49248
588	70403	49127
589	70523	49007
590	70641	48887
591	70762	48768
592	70887	48652
593	71009	48535
594	71131	48416
595	71248	48295
596	71364	48174
597	71481	48053
598	71605	47936
599	71722	47815
600	71847	47698
601	71977	47586
602	72110	47475
603	72238	47361
604	72364	47246
605	72480	47124
606	72596	47002
607	72714	46881
608	72767	46719
609	72884	46598
610	73002	46477
611	73121	46358
612	73243	46240
613	73364	46121
614	73481	46000
615	73605	45883
616	73725	45764
617	73867	45659
618	73998	45546
619	74120	45428
620	74237	45307
621	74361	45190
622	74490	45077
623	74624	44966
624	74763	44857
625	74891	44743
626	75016	44627
627	75137	44507
628	75254	44386
629	75375	44268
630	75492	44146
631	75613	44028
632	75732	43908
633	75853	43789
634	75984	43676
635	76113	43561
636	76233	43442
637	76353	43322
638	76475	43204
639	76529	43047
640	76646	42926
641	76763	42805
642	76891	42690
643	77029	42581
644	77159	42467
645	77293	42355
646	77411	42235
647	77535	42117
648	77667	42005
649	77799	41892
650	77918	41771
651	78042	41654
652	78161	41534
653	78281	41414
654	78403	41296
655	78521	41175
656	78644	41057
657	78760	40936
658	78880	40816
659	79001	40697
660	79120	40577
661	79243	40459
662	79373	40345
663	79507	40232
664	79638	40118
665	79770	40005
666	79892	39886
667	80014	39767
668	80132	39646
669	80249	39525
670	80371	39407
671	80493	39288
672	80612	39168
673	80735	39050
674	80859	38932
675	80984	38814
676	81100	38693
677	81221	38574
678	81340	38454
679	81458	38333
680	81576	38212
681	81700	38094
682	81823	37976
683	81955	37862
684	82083	37746
685	82217	37633
686	82348	37518
687	82469	37398
688	82588	37278
689	82709	37159
690	82831	37040
691	82950	36920
692	83066	36798
693	83185	36678
694	83303	36557
695	83427	36439
696	83549	36320
697	83667	36199
698	83786	36079
699	83906	35960
700	84025	35839
701	84147	35720
702	84267	35601
703	84394	35484
704	84523	35368
705	84613	35235
706	84746	35121
707	84871	35003
708	84990	34883
709	85070	34747
710	85189	34626
711	85307	34506
712	85428	34387
713	85551	34268
714	85689	34155
715	85817	34039
716	85934	33918
717	86052	33797
718	86174	33678
719	86294	33558
720	86414	33439
721	86528	33317
722	86650	33197
723	86774	33079
724	86903	32963
725	87040	32849
726	87169	32733
727	87306	32619
728	87425	32499
729	87549	32381
730	87666	32260
731	87786	32140
732	87903	32019
733	88020	31898
734	88148	31781
735	88269	31661
736	88390	31542
737	88510	31422
738	88636	31304
739	88758	31185
740	88893	31070
741	89018	30952
742	89141	30833
743	89262	30714
744	89394	30598
745	89527	30482
746	89665	30368
747	89799	30253
748	89917	30132
749	90062	30020
750	90205	29908
751	90338	29792
752	90478	29678
753	90620	29565
754	90739	29445
755	90857	29324
756	90987	29207
757	91131	29094
758	91268	28979
759	91401	28863
760	91544	28750
761	91665	28630
762	91786	28510
763	91918	28393
764	92050	28277
765	92170	28156
766	92284	28034
767	92412	27916
768	92530	27795
769	92640	27671
770	92750	27548
771	92864	27426
772	92978	27304
773	93087	27180
774	93198	27057
775	93307	26934
776	93424	26812
777	93539	26691
778	93659	26571
779	93792	26454
780	93907	26332
781	94016	26209
782	94130	26087
783	94241	25964
784	94379	25849
785	94502	25729
786	94616	25607
787	94727	25485
788	94837	25362
789	94951	25240
790	95079	25122
791	95214	25005
792	95343	24887
793	95477	24771
794	95607	24653
795	95725	24532
796	95861	24416
797	95981	24296
798	96101	24175
799	96229	24057
800	96344	23935
801	96454	23813
802	96567	23690
803	96696	23572
804	96837	23457
805	96967	23339
806	97101	23222
807	97214	23100
808	97341	22981
809	97477	22865
810	97609	22747
811	97727	22626
812	97851	22506
813	97969	22386
814	98082	22264
815	98199	22142
816	98320	22022
817	98452	21905
818	98566	21783
819	98682	21662
820	98800	21541
821	98926	21421
822	99044	21301
823	99165	21180
824	99291	21061
